[I 2020-01-15 20:56:22.237 SingleUserLabApp extension:158] JupyterLab extension loaded from /opt/jupyterhub/lib64/python3.6/site-packages/jupyterlab
[I 2020-01-15 21:01:59.326 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579122119668 (guest160@69.28.236.4) 31.02ms
[I 2020-01-15 21:01:59.328 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579122119671 (guest160@69.28.236.4) 1.07ms
[I 2020-01-15 21:02:30.228 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579122150664 (guest160@69.28.236.4) 1.60ms
[I 2020-01-15 21:02:30.230 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579122150667 (guest160@69.28.236.4) 1.15ms
[I 2020-01-15 21:02:31.235 SingleUserLabApp log:174] 200 GET /user/guest160/api/kernelspecs?1579122151666 (guest160@69.28.236.4) 2.41ms
[I 2020-01-15 21:02:31.241 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579122151669 (guest160@69.28.236.4) 5.25ms
[I 2020-01-15 21:02:33.247 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579122153664 (guest160@69.28.236.4) 12.89ms
[I 2020-01-15 21:02:44.244 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579122164664 (guest160@69.28.236.4) 10.98ms
[I 2020-01-15 21:03:01.241 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579122181664 (guest160@69.28.236.4) 11.66ms
[I 2020-01-15 21:03:01.244 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579122181666 (guest160@69.28.236.4) 1.19ms
[I 2020-01-15 21:03:01.284 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579122181667 (guest160@69.28.236.4) 1.06ms
[I 2020-01-15 21:03:02.235 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579122182666 (guest160@69.28.236.4) 4.97ms
[I 2020-01-15 21:03:11.301 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579122191730 (guest160@69.28.236.4) 1.68ms
[I 2020-01-15 21:03:11.328 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579122191765 (guest160@69.28.236.4) 1.19ms
[I 2020-01-15 21:03:11.991 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579122192414 (guest160@69.28.236.4) 13.53ms
[I 2020-01-15 21:03:12.289 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579122192721 (guest160@69.28.236.4) 5.39ms
[I 2020-01-15 21:03:19.493 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579122199918 (guest160@69.28.236.4) 11.38ms
[I 2020-01-15 21:03:21.356 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579122201786 (guest160@69.28.236.4) 1.50ms
[I 2020-01-15 21:03:21.386 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579122201828 (guest160@69.28.236.4) 1.11ms
